title,content,type
Nightfall,"Yet another day passes.
Over hills, twilight presses.
Moon already hung up high,
Welcoming nightfall.

Birds flying up to their nests,
Chirping time to rest.
Time for peace and stillness,
Time to restore our minds and bodies.

As all fades into night,
A hollow of absence of light.
Only twinkling lights of stars,
Sparkling in amid.

No drama or anger lingering,
No quarrels or crying interrupting,
Only songs of crickets,
Only dances of star lights.

Oh, what a pleasant time.
If only day were this tame,
It would bring peace.
",Nature
I Love A Lonely Winding Road,"I love a lonely winding road
That takes me where I cannot see
Until each softly rounded hill
Reveals its landscaped mystery.
Where nature's stage creates the plot,
What ever the scene may be.

I love the crocus call in spring,
The first to wake from winter's sleep.
Translucent bits of ivory joy,
So patient under snow banks deep,
'Til they can lift each star like face
And proudly nature's rhythm keep.

I love the fiery autumn hues,
Too harsh to bear in gentle spring
But welcomed by the strident wind
That makes the mighty pine tree sing,
Freeing the crimson leaves that dance
Like bright birds, high on wing.

I love the wonders of this world,
The secrets nature guards so well
From those who have no time to spend,
Who will not lift the ocean's shell
And listen to the murmured tale
That each one has to tell.",Nature
"At The Mountainside
","Fresh breeze and snowcapped peaks,
sky inked with pale blue.
The water at the lake is crystal clear,
the green grass, cows silently chew.
The little girl at the lowest hill
is seen plucking flowers:
red, blue, yellow and purple
all seem to have some kind of power.
The clouds are moving at a snail's pace,
and all seems so quite and peaceful
everything is mesmerizing
that away from it you cannot be pulled.
",Nature
Silhouettes In Sunsets,"The sun sets across the horizon 
The shadows grew 
Mesmerized by the colors 
The yellow and orange hues 

The angler by the lake 
Silhouetted and concealed by his background 
The water glimmers against the light 
Like a new jewel found 

An eagle swoops down 
Trying to catch its meal for the day 
Oblivious to the darkening sky 
Searching for its pray 

As I stared out my window 
I sucked in it's beauty 
Took up my paintbrush 
And started to paint the wonderful scenery 

The used to be empty wall 
Is now filled 
With my silhouette and sunset picture 
Is just for your viewing pleasure 

",Nature
Stars,"The luminosity of their sparkle
Blind with devotion, concealed with adoration.
The innocence of their angelic light,
Shine with the boundless uncertainty 
Of where they are to glisten next.

The purity of their bleached glow 
Fill with the endless possibilities of beauty beyond our belief. 
The simplicity of their navigation
Guide us through anguish we often begin to feel.

The delicacy of their gentle awakening
Enliven our sky with slight promises and the fascination of confusion. 
The aspiration the beam lets off
Shows us the path to our capacious imagination full of desires.

The gleam of their twinkle
Darken with perfection, align 
With daydream, and are matched flawlessly
With the unreality of our everlasting fantasies.",Nature
Wind Howling,"Awoken from my nightmarish dreams,
The sounds of wind howling,
Its fists beating against my windows.

Branches scraping,
Like fingernails against the chilled glass.

Shadows creeping across the room
seeking, searching,
a lost child.

Wind howling still,
Like the ongoing, mournful cry of a wolf, 
baying at the full moon.

On and on cries the wind.
Forever searching for ears to listen,
longing to be heard.",Nature
The Lonely Bird,"In a park whither an elderly man once went
was a bird with a voice so wonderful much money would he have spent
just to hear that melodic bird sing
and listen to its voice, with that majestic ring.

But as the seasons passed, so did the bird's voice, 
and the man stopped going, though not by choice,
for his health was beginning to fade
and the bird began to wither too, but he could get no aid.

With no audience for which to sing,
a sad death was all fate would bring.
So it was that the bird passed away,
of all times that spring in late May.

In the summer that man did return,
but of the bird's death never did he learn.
So he listened to all of the birds that came,
but somehow it just never felt the same.
",Nature
On The Wings Of A Song,"Once in a while, if you are feeling blue,
When troubles seem to keep coming along,
If you will take the time to listen to music
It can lift your spirits on the wings of a song.

You don't have to be in a concert hall,
For nature provides its own symphonies.
There are no discords in the murmuring stream,
Or the wind as it gently hums through the trees.

Who has not heard the frogs' cheerful concert
When the nighttime shadows draw near?
If you will take the time to quietly listen,
The evening serenade of crickets you'll hear.

There's a rhythm to the lapping waves on the shore.
In the sky, every bird has its own melody.
Even the mightiest humpback whale
Sings its love songs down deep in the sea.

It may not change the problems that you have.
There are times when things will go wrong.
Still, it can help bring peace to your soul
When you lift your heart on the wings of a song...
",Nature
"The Sky
","Have you seen the Sunset and Sunrise
And the Horizon that's a prize
How the colors mix and melt
And look as soft as felt
How they float away into black
As you wish them back
And that feeling that makes you sad
How the tears come and just make you mad
But then you see the stars
That are so small they could fit in jars
Now there are so many
You'd buy each one with a penny
How they shine so bright
And don't put up a fight
So you stand watching them twinkle and shine
Then you realize you feel fine
So you sigh
And say goodbye.
",Nature
The Countryside,"Deep into the wood where the Bluebells grow
Next to them the wild garlic will show
An old oak creeks with a century of age
With brand new shoots and the sun they crave
A crystal clear brook where the Sticklebacks nest
Flows into a stream where the bull rushes rest
The Swifts swoop down like dive bombing planes
In a field of mown hay set in country lanes
In the distance a Wood Pigeon coos
And the rest of the birds also voice their views
Beneath this sun filled clear blue sky
Hear the distinctive sound of a Pheasant cry
As dusk sets in with moon rising higher
far away glows a farmers pyre
Soon to come the majestic Bat
Skillfully collecting Moth and Gnat
These are the delights that the countryside brings
Peaceful bliss as the Nightjar sings
",Nature
Once More,"As I walk through the woods,
I see a stump where a tree once stood.

The once mighty oak laying down for a nap,
Still as can be on the forest's lap.

I choose to sit and admire the sight
In plenty of time for the first morning light.

Plants glistening with morning dew,
A robin enjoys his carefully perched view.

Animals begin to scurry all about,
The most beautiful scene, there is no doubt.

'Cause when the April storm took its toll,
The forest's top discovered a hole

Right where the fallen oak rests silently,
Long after winds swirled so violently.

The wind spared this forest, well, all but one
And filled the gap with the morning sun.

For it is that beautiful beam of light,
That pours through the opening so very slight,

That beckons me to this quiet, peaceful place,
All within Mother Nature's grace

To sit and watch the forest floor,
Through the beam each day, once more.
",Nature
Natural Life,"Take a moment to notice
The beauty of the trees.
Sit and take a look
At the dancing leaves.
Note the little child
Laughing, playing with a toy.
Always so full of energy;
Humongous amounts of joy.
Don't crush the insects,
Who are 1/1000ths of your weight.
They may creep up your path,
But don't decide their fate.
Life's not about avoiding storms.
Instead, dance in the rain.
The Earth is so beautiful;
Why must we cause it pain?
Take time off your busy schedule
To glance at the starry night.
Because nature is genius.
So pretty, such a sight!

",Nature
"Ode To Wyoming
","The sky lay vast, 
Contrasted by the rolling hills.
Tumbleweeds bump against the skyline,
Long grasses dance in the wind,
Contrasted by the rolling hills.
Coyotes strut with untamed confidence.
Long grass dances in the wind.
A lonely antelope has nowhere to hide.
The sun begins it decent unto the horizon.
The twilight does not bring solace.
The night stands in vigil.
The sun rises unbiased.
The game is reset.
",Nature
Silent Sight,"All is silent, all is still
No one around to see the thrill;
Small, small light
A shadow moves
The petals move, start to sing
Wind picks up, nature's music starts
Starting at point base, feeling in the heart
Born to feel, always live the same
Never let the soul ever be tame;
Starting to move, step by step
Slowly at first, but fast at last;
Keeping in tune to the sound of the heart
Finishes, beautiful spin; tidy dancer starts off again;
A silent applause, for no one to hear
A feeling of gratitude from those who are near;
Still no one around, absolutely no sound
But a smile suddenly creeps while around everything sleeps.
The heart always goes what the eye always shows
Never give up that feeling you hold....
",Nature
Our Mother Earth,"As I walk across the earth,
thousands of things I get to see.
Birds fly high, soaring higher,
and on the flowers I hear the buzz of bees.

The sun at the dawn, rises within the hills.
Mountains covered with snow,
shining like the crown of silver. 
And the waves touching the cliffs.
The waterfall flowing down
the green-blue mountains.
Rivers forming a dream delta 
before entering the sea.

And while walking on the beach at night,
I feel the cool and sweet smelling breeze.
The slashing sound still feels like
the sound of love and peace.
The moon over the sea,
shining like a ball of gold.
And in every step my eyes hold wonder.
I bend on my knee
to thank the mother earth,
And is the truth.
it's a great pleasure for me,
to live in this wonderland.
",Nature
The Way Of Nature,"Oh the trees,
See them cluster,
They give you shade,
That's the way of nature.

They feed you,
At the right time,
They feed you with the right things,
That's the way of nature.

The earth rotates,
Around the sun,
It causes day and night all long,
That's the way of nature.

The stars and moon,
Pop out at night,
And there they glow,
With all the light,
That's the way of nature.

The clouds in the sky,
That look like sheep,
They clash together,
And thunder seeps,
That's the way of nature.

Oh! The animals,
See them play,
With all their might,
They go their way,
That's the way of nature.

The blue ocean,
Spreads so far,
It has no end,
Like a war,
That's the way of nature.

The mountains high,
Could touch the sky,
Of different size and colors,
That's the way of nature.


",Nature
My Wooded World,"As a child, I would sit and ponder
at the wooded areas, for their beauty relaxed me.
The sway of the branches and whistling of the winds,
as if they were calling my name.

Then as I grew older, they were my retreat,
for the woods became my own world,
a world full of imagination, creativity,
resourcefulness, as well as inspiration.

I loved my domain, for no problems were too great.
The woods protected me from everything.
The branches would open as to hold me.
The animals, in their busy ways, stopped to welcome me.

It was this place, my wooded world, that I lived for.
It is that place that beckons me now.
For it was only there, in them woods, I felt truly free,
as free as I would feel when your love would surround me.
",Nature
"Away It Goes
","A leaf falls slowly to the ground, 
going round, round and round, 
first it was green, now it is brown, 
every leaf is like a tear, 
soft and gentle, 
falling from the tree, 
as if it were crying, 
into the stream, 
taken down the river, 
and away it goes,

A petal sits on the ground, 
red as the rose it fell from, 
each petal is like tissue, 
soft and kind to the touch, 
butterflies once landed on it, 
but now insects crawl over it, 
a summer breeze gently blows, 
the petal is taken up to the clouds, 
away it goes,

A butterfly glides slowly around, 
searching for flowers, 
searching for nectar, 
gliding on the summer breeze, 
down to the river and the tear like leaves, 
then up to the clouds and the tissue like petals, 
then back to the flowers, 
and away it goes
",Nature
Omnipresent Paradise,"Irregular at every post,
Every ridge and every fold,
The contour of every coast,
There is beauty to behold.

The light from the sun,
The smile on a child's face so bold
While basking in innocent fun,
There is beauty to behold.

For every grain of sand, 
Pine cones define the perfect mold,
Umbrellas shelter the land,
There is beauty to behold.

Bound by a drop to the sea,
Light reflecting ripples of gold,
Cliffs so sheer in their intricacy,
There is beauty to behold.

With each day that goes by,
Octopuses dwell deep in the cold,
Flying fish dive into the sky,
There is beauty to behold.

Paradise is everywhere,
One need not be told,
Free for us all to share,
There is beauty to behold.
",Nature
The Grand Canyon,"She picked up her brush and began to paint
Her pallet of earth sometimes was faint
The depth of scene was beyond reach of eye
Topped now and again by a turquoise sky

The colors of her painting began to run
At first a trickle... the torrent had begun
Upon her painting, eyes would struggle to look away
Her thoughts were of a landscape where hearts would play

Stepping back from the canvas, in her gaze it seems
The painting was beyond her wildest dreams
The sound of water echoed upon the wall
As she hung the painting in the great hall

She unveiled her canvas and offered it to him
Then footprints appeared on the edge of the rim
She knew they would come from the world around
Drawn by a painting... created in the ground

",Nature
Alaska,"I always like winter best.
Windy and rainy,
It appears to never rest.

See the water fall beside
This dark, hidden road,
Far from the calm ocean tide.

This is a beautiful land
Frozen within ice
Where the great trees strongly stand.

Beyond the town of Skagway
Gates to the Klondike
Where peace seems to always stay.

Saw-tooth peaks point to the sky
Tall and majestic
Where nature's great secrets lie.

Resting on the pointy peaks
Sleep the white glaciers
I can hear the Tlingits speak

This is where my worries flee
In great Alaska
Where my heart will always be.
",Nature
Tapestry,"If I could take a brush and paint the mountains and the moors,
I would splash the hillsides yellow and cover them in gorse.
I'd take the finest needle and the darkest thread of green
And sew a line of bracken along the landscape. In-between

I'd lay a purple carpet of wild heather in the dells
And fringe the edge of all the woods with their pretty lilac bells.
I'd merge the bracken with the heather, mix their colours like the sea,
A green and purple ocean on my own rich tapestry.

Then I'd take a ball of soft, white wool and stitch a mass of daisy chains
Around the lush green meadows and up the sides of winding lanes. 
I would stencil on the marshes, just like pure white china cups,
Some fragile water lilies and by the ponds, sweet buttercups.

I'd mix orange, reds and yellows planting poppies wild and free
Onto nature's coloured canvas, my own rich tapestry.",Nature
"The Tornado
","There is no stopping it.

The sky is falling to the earth,
Like snow in its beauty
But rocks in its destruction.
All living things stand still,
None daring to take a breath,
For fear that the slightest movement
Will push the universe over the edge.
The trees stand still,
And everything listens to the wind,
Whispering a warning to us all.

Suddenly there is a flash.
Light floods the world.

It was the tipping point.

The wind screeches,
And life starts again.
The trees bend and snap,
Unable to bear the weight of it all.
The rain drenches everything,
Showing no mercy for the living things below.

It is chaotic,
Even apocalyptic,
This fear bringing thing.
In a painful cleansing,
All is made new and clean.
The tornado carries a promise
Of things yet unseen.
Be true to Him,
Or face an end to this dream.
",Nature
Starry Night,"Starry Night, Starry Night,
The stars shining in the sky.
The stars twinkling in my eye,
Like the sun in the daytime sky,
Or the moon in the early evening.
The nebulae are big and bright,
Like a supernova explosion in broad daylight.
Starry night, starry night
Oh, what a beautiful sight
",Nature
The Beauty Of A Tree,"Can there be anything more lovely 
Than the beauty of a tree?
Her leaves shimmering in the wind,
Dancing so gracefully.

The strength of her mighty roots
That grows deep into the earth.
She's weathered every stormy gale
For all that she is worth.

Standing tall, resilient
With her branches lifted high,
She refused to bow, to break or bend
But reaches upward to the sky.

The beauty of the strength within
As she held her head up high.
Her strong resilient spirit
Grew wings and learned to fly.
",Nature
Oh! It Was The Wind,"I felt a strong air on my hair
Oh! It was the wind.
Side by side, the leaves sway and sway.
Yesterday was a windy day!

I felt a strong breeze on my knees
Oh! It was the wind!
It blew harder and harder as it can, 
Until the heat of the sun was gone!

The kids that play on the ground
Come running and stepping with sound.
The kites that fly so high
Made the children laugh and sigh!

I felt a strong air on my hair,
I felt a strong breeze on my knees 
And then I realized, 
Oh! It was the wind!
",Nature
A New Dawn,"The central time when dusk meets dawn
and the time when sun touches the lawn,
even in my heart's legacy,
I knew it was sheer ecstasy.
The enchanting time when
Pure dew covers the glen,
The snow on the mountains are blooming white,
except for a few stains by sun's bright light.
I fear it'll never be seen again:
so beautiful, the dawn, seemed a poor bargain,
the gangly reed to the river
say, ""Oh, brother, ye make me quiver.""
The river gurgled along,
wanting to know where it belonged,
the soft green grass busy with ants
showers down the dew in pails,
how I wish this cool and serene
mesmerizing dawn will last forever.
'Twas too good to be true
as it came out of the blue,
the central time when dusk meets dawn
and the time when the sun touches the lawn...
",Nature
"Dusk In New York City
","Taken in by the wondrous air my revere,
The sun is creeping down into the sky,
Slowly descending, yet nowhere near
The aurora is trying to say bye.
Freeing the city of its beaming light,
Only the glowing horizon appears,
Yellow and red lost to the black's might,
Coherent thoughts are becoming unclear.
It's raining, it's pouring, a black sky is falling
All the light is gone, now it's time to play
And the city that never sleeps calling
Me. ""Forget about your chaotic day""
Because right now there is no light
Only from the buildings that shine bright
",Nature
Watching The Rain,"Rain, glorious, pounding, soaking rain
How I love to hear your song 
Drowning my world in your torrential downpour 
I sit here and contemplate your frenzy dance moves upon my window panes 
Lost I am in your graceful movements 
You dance through the night as the dawn awaits in the horizon 
You sashay your last moves and the sun peeks through the clouds 
Move on, it cries
For it is my time to wash the world with light 
And your last drops bid the world 
Goodbye
",Nature
Poplar,"Alert and splayed branches accept and reinforce 
life's rhythms, existence, and love.

Now in January, I want to write the poplar's pulse, 
but mine quickens as I come close to mediating its presence.

To share its essence, I transcend the desire 
to understand and like the wood.
Pigeons sit content amongst the branches that support me.

Then I watch the squirrels chase, 
their fearless leaps of faith 
one hundred or more feet from the ground 
and feel the excitement of a fool testing the margins.

Now the crow, whose knowing has gone beyond the need to share 
takes me to ambiguity and leaves me 
as it flies beyond to bottomless secrets, 
flashing a hint in its eye, 
on its wing it disappears.

The arms of this tree, vivacious with variation and complexity, 
are in perfect paradox with its innate design to be.
",Nature
Far As I Can See,"Peering out across the motionless water
No sounds to be heard for miles away 
Nonetheless I remain quiet for now 
Along with noises of the beautiful bay

Peace surrounds these mountains 
Like they've known each other for years 
Rekindled spirits together again 
The point where the landscape clears

This part of the world so tender 
A sacred tombstone set in it's place
Somewhere left untouched by us
Like a precious guitar in it's case  

This view gives off a feeling of glee 
And it doesn't stop as far as I can see
",Nature
Little Things,"When the morning drizzles touch the unfolding buds,
When the sunshine turns the dewdrops into diamond,
When Spring's first daisies bloom,
When the wanderer wind wanders and the palm leaves dance,
When the setting sun mixes golden glitters in the river,
When breaking the dawn the first ray erases the ebony,
My eyes sparkle a li'll brighter,
My heart skips a beat inadvertently.
Beauty comes in and griefs fade. 
This treasury of endless treasure, 
Behold it just a moment ,
The heart'll fill with solace and serenity.",Nature
Footprints In The Sand,"Footprints in the sand
Stay for a minute
Before the waves lift them
Away
Into the unforgiving sea
Leaving you there 
Wishing
That they would stay for a 
Slight moment
Longer
Before they are gone 
Forever",Nature
Nature And Feelings,"The dawn has landed
With a beautiful sunrise,
Amidst tones of green leaves,
Moving swiftly from one place to another.
It takes you along,
Giving you a photographic sensation.
Capturing the beauty of life, 
You walk in between 
The left or the right.
Everywhere are trees and leaves. 
The scattered brownish leaves cover the ground.
Try a low angle shot.
Hard times, good days, 
Smiles and silence.
Walking in peace,
Even the trees murmur,
Leaves make noises.
With the passage of time,
Things change, 
And the dusk falls
With a beautiful sunset 
And unspoken words everywhere.",Nature
"Sing To Me, Autumn","Sing to me, Autumn, with the rustle of your leaves. 
Breathe on me your spicy scents that flow within your breeze.

Dance with me, Autumn, your waltz that bends the boughs of trees. 
Now tell me all the secrets you've whispered to the seas.

Sleep with me, Autumn, beneath your starlit skies.
Let your yellow harvest moon shimmer in our eyes.

Kiss me, Autumn, with your enchanting spellbound ways 
That changes all you touch into crimson golden days.

Love me, Autumn, and behold this love so true
That I'll be waiting faithfully each year to be with you.
",Nature
Autumn's Begun,"Swirling,
Whirling,

With perfect grace.
Guided by the wind to land in an unknown place.

Breezing by,
Flying high.

Gently it rests in a child's dying garden.

A little flitter to the left. A slight flutter to the right. 
The wind will not rest tonight.

Prowling as it comes,
Howling as it carries.

Leaves of every shade twirl and spiral across the cold gray air, 
For the leaves don't care

One leaf crusades through the sky,
                                  
Slowly    
Descending
                                
Without a thought why

Side to side, 
Down and down.
A single leaf on the ground is enough to make anyone frown.

When you're showered with fire, gold, and copper,
When the trees wave at you
And cold, crispy air tickles your nose and makes you feel wonderfully numb,
Then that's when you know autumn's begun.
",Nature
Autumn's Majesty,"Sun with his artistic touch, 
streaks skies of blue with rosy blush,
trimming Oak and Maple too, 
crimson reds with yellow hue.

Birch and Hemlock, purple and gold, 
apples, pumpkins bright and bold,
burns by day and cools by night, 
cloaking trees in fiery might.

Wispy winds and tumbling leaves, 
cypress scents within the breeze, 
starry eves and harvest moon, 
sets the stage for crickets' tune.

As spiders spin their tapestry 
and crickets sing in symphony, 
their final song of destiny, 
it's clear for all the world to see, 
Autumn's vibrant majesty!
",Nature
Autumn Leaves,"Golden, crisp leaves falling softly from almost bare trees,
Lifting and falling in a hushed gentle breeze.
Slowly dropping to the soft cushioned ground,
Whispering and rustling a soothing sound.

Coppers, golds, and rusted tones,
Mother Nature's way of letting go.
They fall and gather one by one,
Autumn is here, summer has gone.

Crunching as I walk through their warm, fiery glow,
Nature's carpet rich and pure that again shall grow.
To protect and shield its majestic tree,
Standing tall and strong for the world to see.

They rise and fall in the cool, crisp air.
It's a time of change in this world we share,
Nature's importance reflecting our own lives,
Letting go of our fears and again, too, we shall thrive.




",Nature
Winter s embrace,"Shimmering lakes of silvery ice
welcomes skaters' scarring slice.
Hills adorned in lacy white
watch children sleigh into the night.
In the brilliant pristine light,
snow birds in tall trees take flight.
Evergreens draped in capes of snow,
their heavy branches hanging low,
blanket earth as north winds blow.
Winter's dance is quite a show,
an ice-kissed, dazzling, magical place,
transformed by winter's cold embrace!
",Nature
"Winter Warmth
","Piles of snow beneath my boots
chilly winds blowing everywhere
snow keeps mounting on the posts
on the windows and on the roads
shovels outside, 
soups inside
hot and rich, 
chicken and corn
coming back from all the work
this is what I look for
the warm chestnuts,
the cracking fire
this is my winter warmth
",Nature
The Hunt For The Northern Lights,"Snowy white fox of the Arctic,
was it your brush-like tail
that sprayed snow, like crystal sparks,
adorning the dark sky with a shimmering veil?
Are you the Northern Lights?

Flourishing forest fungi,
was it your luminescent glow
that ignited fires across the frozen North,
covering the woodland floor, so very long ago?
Are you the Northern Lights?

Plentiful waters of Lapland
was it the light falling into your seas,
that reflected back off the fishes shiny, wet scales 
into the streams of the sky? If so please,
Are you the Northern lights?

Or was it the solar winds that, colliding with earth's gasses,
started to glow, creating streamers in their masses?
A magnificent array of colours. Reds, greens, violets, blues,
A mystical curtain of  bright celestial hues.
Constantly in motion.
A beautiful blaze of auroral displays
Around Heaven's swirling ocean.

AURORA BOREALIS !
Trailing bands of luminous  plasma,
Spellbinding, magical sights.
A plethora of colourful waves from the  sun.
Was He the creator of the wonderful
Northern Lights?
",Nature
I Wandered Lonely As A Cloud,"I wandered lonely as a cloud
That floats on high o'er vales and hills,
When all at once I saw a crowd,
A host, of golden daffodils;
Beside the lake, beneath the trees,
Fluttering and dancing in the breeze.

Continuous as the stars that shine
And twinkle on the milky way,
They stretched in never-ending line
Along the margin of a bay:
Ten thousand saw I at a glance,
Tossing their heads in sprightly dance.

The waves beside them danced; but they
Out-did the sparkling waves in glee:
A poet could not but be gay,
In such a jocund company:
I gazed and gazed but little thought
What wealth the show to me had brought:

For oft, when on my couch I lie
In vacant or in pensive mood,
They flash upon that inward eye
Which is the bliss of solitude;
And then my heart with pleasure fills,
And dances with the daffodils.",Nature
Stopping By Woods On A Snowy Evening,"Whose woods these are I think I know.   
His house is in the village though;   
He will not see me stopping here   
To watch his woods fill up with snow.   

My little horse must think it queer   
To stop without a farmhouse near   
Between the woods and frozen lake   
The darkest evening of the year.   

He gives his harness bells a shake   
To ask if there is some mistake.   
The only other sound s the sweep   
Of easy wind and downy flake.   

The woods are lovely, dark and deep,   
But I have promises to keep,   
And miles to go before I sleep,   
And miles to go before I sleep.
",Nature
Peace,"THE steadfast coursing of the stars, 
The waves that ripple to the shore, 
The vigorous trees which year by year 
Spread upwards more and more; 

The jewel forming in the mine, 
The snow that falls so soft and light, 
The rising and the setting sun, 
The growing glooms of night; 

All natural things both live and move 
In natural peace that is their own; 
Only in our disordered life 
Almost is she unknown. 

She is not rest, nor sleep, nor death; 
Order and motion ever stand 
To carry out her firm behests 
As guards at her right hand. 

And something of her living force 
Fashions the lips when Christians say 
To Him Whose strength sustains the world, 
""Give us Thy Peace, we pray!""
",Nature
